TXT DosyaNo;esasNo;kararNo
000429;2020-1610;2022-551
000430;2021-6739;2022-2174
000431;2021-6738;2022-2173
000432;2021-6469;2022-2172
000433;2021-892;2022-538
000434;2021-893;2022-539
000435;2022-386;2022-468
000436;2020-1570;2022-383
000437;2021-6776;2022-2177
000438;2021-6809;2022-2199
000439;2021-6615;2022-2175
000440;2021-6490;2022-2205
000441;2019-11786;2022-4689
000442;2020-1371;2022-547
000443;2021-160;2022-469
000444;2020-1422;2022-476
000445;2021-141;2022-549
000446;2021-747;2022-472
000447;2021-1963;2022-1974
000448;2021-2096;2022-1985
000449;2021-1951;2022-1972
000450;2021-8526;2022-1964
000451;2021-1952;2022-1973
000452;2021-8534;2022-1965
000453;2021-8508;2022-1962
000454;2021-1981;2022-1976
000455;2021-8515;2022-1963
000456;2021-8492;2022-1958
000457;2021-1710;2022-2132
000458;2021-1121;2022-1970
000459;2021-1977;2022-1975
000460;2021-2002;2022-1981
000461;2021-2006;2022-1982
000462;2022-4018;2022-1967
000463;2021-1634;2022-2121
000464;2021-1999;2022-1980
000465;2021-2093;2022-1983
000466;2021-1732;2022-2133
000467;2021-1844;2022-2078
000468;2021-1663;2022-2114
000469;2021-1842;2022-2106
000470;2021-1721;2022-2110
000471;2021-1738;2022-2104
000472;2021-2095;2022-1984
000473;2021-8502;2022-1961
000474;2021-1933;2022-1971
000475;2022-4950;2022-2137
000476;2021-1633;2022-2124
000477;2021-8291;2022-1952
000478;2021-8297;2022-1953
000479;2021-8489;2022-1957
000480;2021-1713;2022-2108
000481;2021-2115;2022-1990
000482;2021-1678;2022-2111
000483;2020-59;2022-1969
000484;2021-1670;2022-2107
000485;2021-2106;2022-1987
000486;2021-2135;2022-1994
000487;2021-2098;2022-1986
000488;2021-2118;2022-1991
000489;2021-2132;2022-1993
000490;2021-8160;2022-1951
000491;2021-8487;2022-1956
000492;2019-2404;2022-1748
000493;2021-2277;2022-1765
000494;2019-291;2022-1720
000495;2019-7721;2022-1724
000496;2021-2144;2022-2034
000497;2021-1117;2022-2028
000498;2021-1991;2022-1978
000499;2021-2110;2022-1989
000500;2021-8229;2022-1946
000501;2021-2141;2022-2033
000502;2021-1852;2022-2105
000503;2021-8457;2022-1955
000504;2021-1987;2022-1977
000505;2021-8227;2022-1950
000506;2021-1994;2022-1979
000507;2021-10514;2022-1966
000508;2021-1955;2022-2029
000509;2022-876;2022-2600
000510;2021-2092;2022-2030
000511;2021-2129;2022-2032
000512;2021-8453;2022-1954
000513;2021-8494;2022-1959
000514;2021-8495;2022-1960
000515;2021-1701;2022-2128
000516;2021-1696;2022-2077
000517;2020-5392;2022-2473
000518;2021-2107;2022-1988
000519;2021-2127;2022-1992
000520;2021-1653;2022-2118
000521;2021-1737;2022-2080
000522;2021-1694;2022-2129
000523;2022-5372;2022-2139
000524;2021-1660;2022-2116
000525;2021-1703;2022-2131
000526;2022-5365;2022-2138
000527;2021-1629;2022-2126
000528;2021-1669;2022-2079
000529;2021-2278;2022-1761
000530;2021-2334;2022-1760
000531;2021-2275;2022-1762
000532;2021-2276;2022-1763
000533;2021-2136;2022-1995
000534;2021-4427;2022-2055
000535;2021-4860;2022-2050
000536;2021-4509;2022-2062
000537;2021-4404;2022-2052
000538;2021-1968;2022-2035
000539;2018-275;2022-4533
000540;2021-4587;2022-2064
000541;2021-4913;2022-2076
000542;2018-3959;2022-4532
000543;2021-4812;2022-4487
000544;2018-8714;2022-4534
000545;2021-4610;2022-4486
000546;2021-9902;2022-1720
000547;2021-8634;2022-2117
000548;2021-8750;2022-2113
000549;2021-8633;2022-2112
000550;2021-530;2022-1733
000551;2021-8763;2022-2119
000552;2021-8604;2022-2130
000553;2021-531;2022-1737
000554;2021-8602;2022-2125
000555;2021-8842;2022-2122
000556;2021-5419;2022-4546
000557;2022-389;2022-4426
000558;2021-4130;2022-4431
000559;2020-1704;2022-1689
000560;2020-1667;2022-1688
000561;2020-1667;2022-1688
000562;2022-353;2022-1683
000563;2022-352;2022-1682
000564;2021-3712;2022-2396
000565;2019-1335;2022-4441
000566;2019-11909;2022-4439
000567;2019-11965;2022-4440
000568;2019-373;2022-1697
000569;2021-8795;2022-2397
000570;2018-2658;2022-4448
000571;2021-3859;2022-4430
000572;2020-288;2022-1541
000573;2020-3472;2022-1687
000574;2020-1705;2022-1690
000575;2022-1638;2022-2570
000576;2022-2169;2022-2571
000577;2022-1637;2022-2569
000578;2020-3272;2022-2598
000579;2020-7267;2022-2486
000580;2021-2204;2022-1811
000581;2022-751;2022-4390
000582;2021-2169;2022-1803
000583;2021-8014;2022-1839
000584;2021-7940;2022-1838
000585;2021-8016;2022-1841
000586;2021-8015;2022-1840
000587;2021-7896;2022-1837
000588;2021-8020;2022-1861
000589;2021-8126;2022-1867
000590;2021-7851;2022-1860
000591;2021-8108;2022-1866
000592;2021-8135;2022-1868
000593;2021-7812;2022-1855
000594;2018-5658;2022-1626
000595;2020-960;2022-1658
000596;2021-7833;2022-1859
000597;2021-8049;2022-1862
000598;2021-7824;2022-1858
000599;2021-2283;2022-1818
000600;2021-2184;2022-1808
000601;2021-2205;2022-1812
000602;2021-2339;2022-1828
000603;2021-2203;2022-1810
000604;2021-2312;2022-1823
000605;2021-2198;2022-1809
000606;2021-2183;2022-1807
000607;2021-2332;2022-1825
000608;2021-2299;2022-1821
000609;2021-2318;2022-1824
000610;2021-2175;2022-1804
000611;2021-2165;2022-1802
000612;2021-2157;2022-1801
000613;2021-2148;2022-1800
000614;2021-2176;2022-1805
000615;2021-2177;2022-1806
000616;2021-2276;2022-1816
000617;2021-2278;2022-1817
000618;2021-2289;2022-1819
000619;2021-2206;2022-1813
000620;2021-2208;2022-1814
000621;2021-2439;2022-1831
000622;2021-2342;2022-1829
000623;2021-7818;2022-1833
000624;2021-7800;2022-1854
000625;2021-7817;2022-1856
000626;2021-7820;2022-1857
000627;2021-7802;2022-1832
000628;2021-8090;2022-1847
000629;2021-8091;2022-1848
000630;2021-8138;2022-1849
000631;2021-5116;2022-1485
000632;2021-8028;2022-1843
000633;2021-8039;2022-1845
000634;2019-6500;2022-1644
000635;2020-1985;2022-1637
000636;2021-8097;2022-1863
000637;2019-979;2022-1961
000638;2021-8100;2022-1864
000639;2021-2284;2022-1853
000640;2021-3776;2022-1284
000641;2019-6329;2022-1643
000642;2021-2334;2022-1826
000643;2021-2311;2022-1822
000644;2021-2220;2022-1815
000645;2022-311;2022-1288
000646;2021-2434;2022-1830
000647;2022-503;2022-1323
000648;2021-534;2022-4386
000649;2022-2415;2022-2523
000650;2021-6560;2022-2516
000651;2022-2313;2022-2280
000652;2021-2291;2022-1820
000653;2021-2178;2022-1852
000654;2021-2146;2022-1799
000655;2021-2174;2022-1870
000656;2021-10883;2022-1885
000657;2021-2336;2022-1827
000658;2021-7860;2022-1834
000659;2021-8082;2022-1846
000660;2021-7877;2022-1835
000661;2021-8031;2022-1844
000662;2021-7879;2022-1836
000663;2021-8019;2022-1842
000664;2021-8103;2022-1865
000665;2021-7827;2022-1873
000666;2021-8087;2022-1851
000667;2021-2287;2022-1872
000668;2021-6012;2022-4355
000669;2021-3324;2022-4387
000670;2019-1149;2022-1671
000671;2021-8408;2022-1881
000672;2018-5657;2022-1628
000673;2022-3085;2022-1880
000674;2022-3555;2022-1879
000675;2019-1155;2022-1670
000676;2018-5782;2022-2277
000677;2022-2095;2022-4418
000678;2020-3848;2022-2485
000679;2022-2250;2022-4412
000680;2021-7309;2022-1878
000681;2018-6591;2022-2289
000682;2021-10715;2022-4389
000683;2021-3042;2022-4388
000684;2018-2012;2022-4413
000685;2019-1286;2022-1465
000686;2021-1833;2022-1598
000687;2021-1831;2022-1596
000688;2021-1834;2022-1597
000689;2021-1830;2022-1599
000690;2021-1832;2022-1595
000691;2021-749;2022-1611
000692;2019-2705;2022-2470
000693;2021-7799;2022-1767
000694;2021-7506;2022-1794
000695;2021-7606;2022-1769
000696;2021-7522;2022-1797
000697;2021-8632;2022-1775
000698;2022-15;2022-1253
000699;2021-3609;2022-1255
000700;2021-7697;2022-1786
000701;2021-7592;2022-1791
000702;2021-7728;2022-1759
000703;2021-7758;2022-1779
000704;2021-7746;2022-1780
000705;2021-7514;2022-1776
000706;2021-7517;2022-1778
000707;2021-7604;2022-1783
000708;2018-5215;2022-4303
000709;2021-3769;2022-4297
000710;2019-1026;2022-1620
000711;2021-7703;2022-1764
000712;2021-7548;2022-1774
000713;2021-7743;2022-1761
000714;2021-7562;2022-1762
000715;2021-7608;2022-1768
000716;2021-7566;2022-1763
000717;2021-1104;2022-1795
000718;2021-7681;2022-1766
000719;2021-7523;2022-1771
000720;2021-7614;2022-1770
000721;2019-899;2022-4262
000722;2021-7798;2022-1788
000723;2021-1114;2022-1796
000724;2019-1020;2022-4261
000725;2021-7680;2022-1765
000726;2021-7571;2022-1760
000727;2021-7747;2022-1785
000728;2021-7727;2022-1790
000729;2021-7538;2022-1781
000730;2021-7527;2022-1789
000731;2021-7781;2022-1792
000732;2021-7533;2022-1782
000733;2021-7559;2022-1798
000734;2021-7542;2022-1777
000735;2021-7605;2022-1784
000736;2019-13969;2022-4322
000737;2019-519;2022-4260
000738;2020-1672;2022-1587
000739;2020-1673;2022-1588
000740;2020-1683;2022-1586
000741;2020-1674;2022-1585
000742;2020-1771;2022-1589
000743;2020-1675;2022-1584
000744;2019-768;2022-1554
000745;2021-1724;2022-1758
000746;2021-1855;2022-1749
000747;2019-6989;2022-1531
000748;2019-895;2022-1544
000749;2019-893;2022-1548
000750;2019-769;2022-1555
000751;2019-6988;2022-1530
000752;2019-892;2022-1547
000753;2019-771;2022-1557
000754;2022-4724;2022-1739
000755;2021-1765;2022-1753
000756;2021-1893;2022-1754
000757;2021-1734;2022-1751
000758;2021-1761;2022-1748
000759;2022-4072;2022-1736
000760;2021-1740;2022-1752
000761;2021-1869;2022-1742
000762;2021-1870;2022-1747
000763;2022-4050;2022-1740
000764;2019-894;2022-1549
000765;2019-1765;2022-1546
000766;2019-1764;2022-1545
000767;2021-1735;2022-1750
000768;2019-764;2022-1551
000769;2019-766;2022-1553
000770;2019-765;2022-1552
000771;2021-1726;2022-1756
000772;2019-6986;2022-1528
000773;2019-6990;2022-1532
000774;2021-1883;2022-1755
000775;2021-1725;2022-1757
000776;2019-7240;2022-1533
000777;2021-3268;2022-1428
000778;2022-3792;2022-1734
000779;2022-278;2022-1431
000780;2019-772;2022-1558
000781;2019-767;2022-1550
000782;2019-770;2022-1556
000783;2019-6987;2022-1529
000784;2021-8096;2022-1597
000785;2018-5304;2022-2377
000786;2022-4932;2022-1735
000787;2021-1755;2022-1745
000788;2022-4160;2022-1738
000789;2022-4119;2022-1737
000790;2022-1296;2022-4184
000791;2022-1125;2022-4237
000792;2017-540;2022-1741
000793;2017-2181;2022-1717
000794;2022-2061;2022-4198
000795;2022-1514;2022-4232
000796;2022-1128;2022-4236
000797;2018-3780;2022-2379
000798;2020-2569;2022-1712
000799;2020-2742;2022-1683
000800;2022-1146;2022-2155
000801;2019-3516;2022-2153
000802;2020-2586;2022-1713
000803;2020-2582;2022-1688
000804;2020-2771;2022-1692
000805;2020-2741;2022-1682
000806;2020-2770;2022-1691
000807;2021-2304;2022-1695
000808;2020-2580;2022-1681
000809;2021-3201;2022-1696
000810;2020-2765;2022-1690
000811;2020-3027;2022-1679
000812;2020-3043;2022-1675
000813;2020-2739;2022-1684
000814;2020-2570;2022-1697
000815;2020-3036;2022-1674
000816;2020-3025;2022-1678
000817;2020-2780;2022-1710
000818;2020-2761;2022-1700
000819;2020-2927;2022-1677
000820;2020-2565;2022-1709
